Pixel Position,Calibrated Wavelength (nm)
0,322.48315431191503
1,322.85752109443064
2,323.23187340832794
3,323.60621125360694
4,323.9805346302676
5,324.3548435383099
6,324.72913797773396
7,325.10341794853963
8,325.47768345072694
9,325.85193448429595
10,326.22617104924666
11,326.60039314557906
12,326.9746007732931
13,327.3487939323888
14,327.7229726228662
15,328.09713684472524
16,328.471286597966
17,328.8454218825884
18,329.2195426985925
19,329.5936490459783
20,329.9677409247457
21,330.3418183348948
22,330.7158812764256
23,331.08992974933807
24,331.4639637536322
25,331.837983289308
26,332.21198835636545
27,332.5859789548046
28,332.95995508462545
29,333.33391674582793
30,333.7078639384121
31,334.08179666237794
32,334.45571491772546
33,334.8296187044547
34,335.20350802256553
35,335.5773828720581
36,335.95124325293233
37,336.3250891651882
38,336.69892060882574
39,337.072737583845
40,337.4465400902459
41,337.8203281280285
42,338.19410169719276
43,338.5678607977387
44,338.9416054296663
45,339.3153355929756
46,339.68905128766653
47,340.06275251373916
48,340.4364392711935
49,340.81011156002944
50,341.1837693802471
51,341.5574127318464
52,341.93104161482745
53,342.3046560291901
54,342.6782559749345
55,343.05184145206044
56,343.42541246056817
57,343.79896900045753
58,344.1725110717286
59,344.5460386743813
60,344.9195518084157
61,345.2930504738317
62,345.66653467062946
63,346.0400043988089
64,346.41345965836996
65,346.7869004493127
66,347.1603267716372
67,347.5337386253433
68,347.90713601043103
69,348.2805189269005
70,348.6538873747516
71,349.02724135398444
72,349.4005808645989
73,349.7739059065951
74,350.1472164799729
75,350.5205125847324
76,350.89379422087353
77,351.2670613883964
78,351.6403140873009
79,352.0135523175871
80,352.38677607925496
81,352.7599853723045
82,353.13318019673574
83,353.50636055254864
84,353.8795264397432
85,354.25267785831943
86,354.6258148082773
87,354.9989372896169
88,355.37204530233817
89,355.7451388464411
90,356.1182179219257
91,356.491282528792
92,356.86433266703995
93,357.23736833666953
94,357.6103895376809
95,357.98339627007385
96,358.3563885338485
97,358.7293663290048
98,359.1023296555428
99,359.47527851346246
100,359.8482129027638
101,360.22113282344685
102,360.59403827551154
103,360.96692925895786
104,361.33980577378594
105,361.71266781999566
106,362.085515397587
107,362.45834850656007
108,362.8311671469148
109,363.2039713186512
110,363.5767610217693
111,363.9495362562691
112,364.3222970221505
113,364.6950433194136
114,365.0677751480584
115,365.44049250808484
116,365.81319539949294
117,366.1858838222828
118,366.5585577764542
119,366.9312172620074
120,367.30386227894223
121,367.6764928272587
122,368.04910890695686
123,368.4217105180367
124,368.7942976604982
125,369.1668703343414
126,369.5394285395663
127,369.91197227617283
128,370.284501544161
129,370.6570163435309
130,371.0295166742825
131,371.4020025364157
132,371.7744739299306
133,372.1469308548272
134,372.5193733111055
135,372.89180129876536
136,373.264214817807
137,373.63661386823026
138,374.0089984500352
139,374.3813685632218
140,374.7537242077901
141,375.1260653837401
142,375.49839209107176
143,375.8707043297851
144,376.2430020998801
145,376.61528540135674
146,376.98755423421505
147,377.35980859845506
148,377.73204849407676
149,378.1042739210801
150,378.47648487946515
151,378.8486813692319
152,379.22086339038026
153,379.59303094291033
154,379.96518402682204
155,380.33732264211545
156,380.70944678879056
157,381.0815564668473
158,381.45365167628574
159,381.8257324171058
160,382.1977986893076
161,382.5698504928911
162,382.9418878278562
163,383.31391069420295
164,383.68591909193145
165,384.0579130210416
166,384.4298924815334
167,384.8018574734069
168,385.17380799666205
169,385.5457440512989
170,385.91766563731744
171,386.2895727547176
172,386.6614654034995
173,387.033343583663
174,387.40520729520824
175,387.77705653813507
176,388.14889131244365
177,388.5207116181339
178,388.8925174552058
179,389.26430882365935
180,389.6360857234946
181,390.00784815471155
182,390.37959611731014
183,390.75132961129043
184,391.12304863665236
185,391.494753193396
186,391.8664432815213
187,392.23811890102826
188,392.6097800519169
189,392.9814267341872
190,393.3530589478392
191,393.7246766928729
192,394.0962799692882
193,394.4678687770852
194,394.8394431162639
195,395.21100298682427
196,395.5825483887663
197,395.95407932209
198,396.32559578679536
199,396.69709778288245
200,397.0685853103512
201,397.44005836920155
202,397.8115169594337
203,398.18296108104744
